GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
pruebaITXComercial,com.pruebaItx.application.service,ProductService,14,20,0,0,3,4,1,2,1,2
pruebaITXComercial,com.pruebaItx.infrastructure.adapter.in.web,ProductController,52,127,7,5,10,27,7,9,1,9
pruebaITXComercial,com.pruebaItx,SwaggerConfig,0,25,0,0,0,8,0,2,0,2
pruebaITXComercial,com.pruebaItx.domain.service,SalesUnitsCriterion,0,8,0,0,0,2,0,2,0,2
pruebaITXComercial,com.pruebaItx.domain.service,ProductSortingService,7,128,1,6,1,29,1,9,0,6
pruebaITXComercial,com.pruebaItx.domain.service,StockRatioCriterion,0,7,0,0,0,2,0,2,0,2
pruebaITXComercial,com.pruebaItx.web.application.interfaces,ProductApi,290,0,42,0,88,0,28,0,7,0
pruebaITXComercial,com.pruebaItx.web.application.interfaces,ApiUtil,27,0,0,0,9,0,2,0,2,0
pruebaITXComercial,com.pruebaItx.web.application.entities,ErrorResource,189,0,16,0,42,0,25,0,17,0
pruebaITXComercial,com.pruebaItx.web.application.entities,GetAvailableCriteria200Response,103,0,10,0,26,0,14,0,9,0
pruebaITXComercial,com.pruebaItx.web.application.entities,ArticleStock,22,133,7,7,9,26,10,11,3,11
pruebaITXComercial,com.pruebaItx.web.application.entities,ProductsSorted200Response,19,84,5,5,6,20,5,9,1,8
pruebaITXComercial,com.pruebaItx.web.application.entities,Criterion,155,0,14,0,35,0,21,0,14,0
pruebaITXComercial,com.pruebaItx.web.application.entities,SortingCriteriaRequest,65,49,9,1,17,13,10,5,5,5
pruebaITXComercial,com.pruebaItx.web.application.entities,Article,25,164,7,9,10,32,11,14,4,13
pruebaITXComercial,com.pruebaItx.web.application.entities,CriteriaWeight,70,60,11,1,19,14,13,5,7,5
pruebaITXComercial,com.pruebaItx.infrastructure.adapter.out.persistence,ProductPersistenceAdapter,0,15,0,0,0,3,0,1,0,1
pruebaITXComercial,com.pruebaItx.domain.model,SortingCriteriaType,6,38,0,0,2,9,2,3,2,3
pruebaITXComercial,com.pruebaItx.domain.model,Product,0,37,1,13,0,6,1,7,0,1
pruebaITXComercial,com.pruebaItx.domain.model,Stock,0,9,0,0,0,3,0,3,0,3
